ISIN;nom;ticker
FR0010193052;Catana Group;CATG
FR0010193979;CBO Territoria;CBOT
FR0010208488;Engie;ENGI
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010241638;Mercialys;MERY
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010282822;SES Imagotag;SESL
FR0010291245;Verimatrix;VMX
FR0010298620;Memscap;MEMS
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010331421;Innate Pharma;IPH
FR0010340141;Adp;ADP
FR0010380626;Prologue;PROL
FR0010386334;Korian;KORI
FR0010395681;Altur Investissement;ALTUR
FR0010411983;Scor;SCR
FR0010417345;Dbv Technologies;DBV
FR0010428771;Olympique Lyonnais (Groupe);OLG
FR0010451203;Rexel;RXL
FR0010478248;Atari;ATA
FR0010490920;EuropaCorp;ECP
FR0010501692;Generix;GENX
FR0010533075;Getlink (ex: Eurotunnel);GET
FR0010557264;Ab Science;AB
FR0010609206;Orege;OREGE
FR0010609263;Mauna Kea Tech;MKEA
FR0010613471;Suez Environnement;SEV
FR0010667147;Coface;COFA
FR0010828137;Carmila;CARM
FR0010908533;Edenred;EDEN
FR0010929125;ID Logistics;IDL
FR0011040500;Axway Software;AXW
FR0011184241;Adocia;ADOC
FR0011191766;Eos Imaging;EOSI
FR0011271600;Fermentalg;FALG
FR0011277391;Fonciere Paris Nord;FPN
FR0011289040;SQLI;SQI
FR0011341205;Nanobiotix;NANO
FR0011466069;Ekinops;EKI
FR0011471135;Erytech Pharma;ERYP
FR0011476928;Fnac Darty;FNAC
FR0011665280;Figeac Aero;FGA
FR0011675362;Neoen;NEOEN
FR0011726835;GTT;GTT
FR0011742329;McPhy Energy;MCPHY
FR0011790542;Genkyotex;GKTX
FR0011799907;Genomic Vision;GV
FR0011814938;Boostheat;BOOST
FR0011950682;Sergeferrari Group;SEFER
FR0011950732;Elior Group;ELIOR
FR0011981968;Worldline;WLN
FR0011992700;Ateme;ATEME
FR0011995588;Voltalia;VLTSA
FR0012127173;Ose Immunotherapeutics;OSE
FR0012202497;Diagnostic Medical;DGM
FR0012333284;Abivax;ABVX
FR0012432516;Poxel;POXEL
FR0012435121;Elis;ELIS
FR0012613610;Prodways Group;PWG
FR0012616852;Abionyx Pharma;ABNX
FR0012650166;Engie EPS;EPS
FR0012757854;Spie;SPIE
FR0012789667;Amplitude Surgical;AMPLI
FR0012789949;Europcar Mobility;EUCAR
FR0012821890;Adux;ADUX
FR0012821916;Hipay Group;ALHYP
FR0012872141;Jacques Bogart;JBOG
FR0012882389;Pharmagest Inter.;PHA
FR0012969095;Capelli;CAPLI
FR0013006558;Showroomprive;SRP
FR0013018041;Navya;NAVYA
FR0013018124;Nicox;COX
FR0013030152;Francaise de l’Energie;LFDE
FR0013153541;Maisons du Monde;MDM
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013181864;CGG;CGG
FR0013183589;Aures Technologies;AURS
FR0013183985;GenSight Biologics;SIGHT
FR0013185857;Abeo;ABEO
FR0013214145;Smcp;SMCP
FR0013227113;Soitec Silicon;SOI
FR0013233012;Inventiva;IVA
FR0013233475;Lysogene;LYS
FR0013247137;Mediawan;MDW
FR0013252186;Plast. Val de Loire;PVL
FR0013258399;Balyo;BALYO
FR0013258589;Antalis;ANTA
FR0013258662;Ald;ALD
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013283108;Delta Plus Group;DLTA
FR0013296746;Advicenne;ADVIC
FR0013318813;PARAGON ID;PID
FR0013326246;Unibail Rodamco Wes;URW
FR0013335742;Cogelec;ALLEC
FR0013341781;2crsi;2CRSI
FR0013357621;Wavestone;WAVE
FR0013379484;Solutions 30;S30
FR0013426004;Claranova;CLA
FR0013447729;Verallia;VRLA
FR0013451333;La Francaise des jeux;FDJ
FR0013467123;Safe Orthopaedics;ALSAF
FR0013482791;Nacon;NACON
FR0013505062;Technicolor;TCH
FR0013506730;Vallourec;VK
FR0013529815;Avenir Telecom;AVT
FR0013530102;Cabasse Group (ex Awox);ALCG
FR00140006O9;Solocal Group;LOCAL
FR0014000MR3;Eurofins Scient.;ERF
GB00BDSFG982;TechnipFMC;FTI
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
LU1598757687;Arcelor Mittal;MT
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus;AIR
NL0006294274;Euronext;ENX
NL00150001Q9;Stellantis;STLA
BE0003470755;Solvay;SOLB
